energy,s026,s027,s028,s029,s030,s031,mean
2.489269999999999982e+03,9.063002000000000002e-01,9.275318000000000174e-01,8.425470000000000459e-01,9.005448999999999815e-01,8.532315999999999789e-01,8.806935999999999654e-01,8.851415166666666279e-01
2.489519999999999982e+03,9.626924999999999510e-01,9.733032000000000350e-01,9.802564999999999751e-01,9.884730999999999934e-01,9.488961999999999675e-01,9.425324999999999953e-01,9.660256666666665604e-01
2.489769999999999982e+03,9.515632000000000534e-01,8.893531999999999549e-01,1.005690999999999891e+00,9.309013999999999900e-01,9.515291000000000166e-01,1.003185999999999911e+00,9.553706499999998769e-01
2.490009999999999764e+03,8.652657000000000265e-01,9.572791999999999968e-01,1.036075999999999997e+00,8.839949000000000279e-01,8.117062999999999917e-01,9.372675000000000312e-01,9.152649333333333637e-01
2.490260000000000218e+03,9.726806999999999537e-01,9.091865000000000085e-01,9.463778000000000468e-01,8.989772000000000318e-01,8.921177999999999608e-01,1.041361999999999899e+00,9.434503333333333908e-01
2.490510000000000218e+03,9.797396000000000438e-01,9.659558999999999784e-01,9.676983000000000112e-01,1.037298000000000053e+00,1.002598000000000100e+00,9.829318000000000222e-01,9.893702666666667200e-01
2.490759999999999764e+03,1.009214999999999973e+00,1.093820999999999932e+00,9.384405999999999581e-01,1.039654999999999996e+00,9.077085999999999766e-01,1.024604999999999988e+00,1.002240866666666674e+00
2.491010000000000218e+03,1.046871000000000107e+00,1.068511999999999906e+00,1.139059999999999961e+00,1.005301999999999918e+00,1.006731999999999960e+00,1.043963999999999892e+00,1.051740166666666587e+00
2.491260000000000218e+03,9.827924000000000104e-01,1.024121000000000059e+00,1.069053999999999949e+00,8.680210000000000425e-01,1.118711999999999929e+00,9.802281999999999940e-01,1.007154766666666701e+00
2.491509999999999764e+03,1.058503999999999889e+00,1.125890000000000057e+00,1.067695000000000061e+00,1.154068000000000094e+00,1.001759999999999984e+00,1.099812999999999930e+00,1.084621666666666817e+00
2.491760000000000218e+03,1.019795999999999925e+00,1.068705999999999934e+00,9.587042000000000064e-01,1.108794000000000057e+00,1.130832000000000059e+00,1.123150000000000093e+00,1.068330366666666587e+00
2.492010000000000218e+03,1.144311999999999996e+00,1.075118000000000018e+00,1.126668999999999921e+00,1.037225999999999981e+00,1.043766999999999889e+00,1.007414000000000032e+00,1.072417666666666491e+00
2.492259999999999764e+03,1.094189000000000078e+00,1.019417000000000018e+00,1.049933999999999923e+00,1.227708999999999939e+00,1.134646999999999961e+00,1.149869000000000030e+00,1.112627500000000103e+00
2.492509999999999764e+03,1.087639000000000022e+00,1.136018999999999890e+00,1.187805000000000000e+00,1.001282000000000005e+00,1.082996999999999987e+00,1.121977999999999920e+00,1.102953333333333452e+00
2.492760000000000218e+03,1.200547000000000031e+00,1.141713999999999896e+00,1.092870999999999926e+00,1.126015999999999906e+00,1.172657999999999978e+00,1.103858999999999924e+00,1.139610833333333240e+00
2.493019999999999982e+03,1.158098999999999990e+00,1.162800000000000056e+00,1.191778999999999922e+00,1.243368000000000029e+00,1.081426999999999916e+00,1.248272000000000048e+00,1.180957499999999882e+00
2.493269999999999982e+03,1.193893000000000093e+00,1.163000000000000034e+00,1.080608999999999931e+00,1.074542000000000108e+00,1.176935000000000064e+00,1.091350000000000042e+00,1.130054833333333564e+00
2.493519999999999982e+03,1.071534999999999904e+00,1.164471999999999952e+00,1.073830999999999980e+00,1.118705000000000060e+00,1.112071000000000032e+00,1.067268000000000105e+00,1.101313666666666746e+00
2.493769999999999982e+03,1.026726999999999945e+00,1.095989000000000102e+00,1.126265000000000072e+00,1.186900999999999984e+00,1.211025000000000018e+00,1.116611000000000020e+00,1.127253000000000061e+00
2.494019999999999982e+03,1.059817999999999927e+00,1.146741000000000010e+00,1.234301000000000093e+00,1.117564999999999920e+00,1.109631999999999952e+00,1.129391000000000034e+00,1.132907999999999804e+00
2.494270000000000437e+03,1.091782999999999948e+00,1.032418999999999976e+00,1.149348000000000036e+00,1.156193999999999944e+00,1.218453999999999926e+00,1.161734000000000044e+00,1.134988666666666868e+00
2.494519999999999982e+03,1.142954000000000025e+00,1.103981000000000101e+00,1.118273000000000073e+00,1.096703999999999901e+00,1.024561000000000055e+00,1.063364999999999894e+00,1.091639666666666786e+00
2.494769999999999982e+03,9.732191000000000036e-01,1.147170000000000023e+00,1.105876999999999999e+00,1.137779000000000096e+00,1.154514999999999958e+00,9.711819999999999897e-01,1.081623683333333252e+00
2.495019999999999982e+03,1.110292000000000057e+00,1.151443999999999912e+00,1.138552999999999926e+00,1.115100999999999898e+00,1.120562999999999976e+00,1.192266999999999966e+00,1.138036666666666585e+00
2.495269999999999982e+03,1.190563000000000038e+00,1.201173000000000046e+00,1.115259000000000000e+00,1.099364999999999926e+00,1.177823000000000064e+00,1.201753000000000071e+00,1.164322666666666617e+00
2.495530000000000200e+03,1.146031999999999940e+00,1.216005999999999920e+00,1.100430999999999937e+00,1.058076000000000016e+00,1.043047000000000057e+00,1.024577999999999989e+00,1.098028333333333384e+00
2.495779999999999745e+03,1.109585999999999961e+00,1.160800999999999972e+00,1.302511999999999892e+00,1.163527999999999896e+00,1.007063000000000041e+00,1.294688000000000061e+00,1.173029666666666637e+00
2.496030000000000200e+03,1.168088000000000015e+00,1.220194000000000001e+00,1.147450000000000081e+00,1.211829999999999963e+00,1.198517000000000055e+00,1.211111000000000049e+00,1.192865000000000064e+00
2.496280000000000200e+03,1.168824000000000085e+00,1.259649999999999936e+00,1.171994999999999898e+00,1.117625000000000091e+00,1.208523000000000014e+00,1.219336999999999893e+00,1.190992333333333209e+00
2.496529999999999745e+03,1.099137999999999948e+00,1.098473999999999950e+00,1.154875000000000096e+00,1.149453999999999976e+00,1.100270000000000081e+00,1.133904000000000023e+00,1.122685833333333383e+00
2.496789999999999964e+03,1.161670999999999898e+00,1.241800999999999933e+00,1.093566999999999956e+00,1.121633000000000102e+00,1.314249999999999918e+00,1.213950000000000085e+00,1.191145333333333278e+00
2.497039999999999964e+03,1.214920999999999918e+00,1.149583000000000022e+00,1.035466999999999915e+00,1.048937000000000008e+00,1.200212000000000057e+00,1.188512999999999931e+00,1.139605500000000049e+00
2.497289999999999964e+03,1.149366000000000110e+00,1.182776999999999967e+00,1.273997999999999964e+00,1.089703000000000088e+00,1.118781000000000025e+00,1.069768000000000052e+00,1.147398833333333368e+00
2.497539999999999964e+03,1.164382999999999946e+00,1.253360999999999947e+00,1.213978000000000002e+00,1.134608000000000061e+00,1.262243999999999922e+00,1.199551000000000034e+00,1.204687500000000133e+00
