energy,s039,s040,s041,s042,s043,s044,s045,s046,s047,mean
2.484799999999999727e+03,1.069811000000000067e+00,1.082905000000000006e+00,1.042772999999999950e+00,1.106001000000000012e+00,1.181917000000000106e+00,1.045757000000000048e+00,1.085560999999999998e+00,1.086632000000000042e+00,1.214593999999999951e+00,1.101772333333333354e+00
2.485039999999999964e+03,1.009660999999999920e+00,1.046726999999999963e+00,9.927407999999999788e-01,1.057447999999999944e+00,1.013821000000000083e+00,1.058232999999999979e+00,1.125647999999999982e+00,1.059468999999999994e+00,1.051392000000000104e+00,1.046126644444444587e+00
2.485289999999999964e+03,9.378881999999999497e-01,1.005943000000000032e+00,1.056167999999999996e+00,9.756955999999999962e-01,9.589940000000000131e-01,1.039274999999999949e+00,9.699305000000000287e-01,9.131390000000000340e-01,9.182601999999999709e-01,9.750326111111111693e-01
2.485539999999999964e+03,9.013744000000000201e-01,1.033897000000000066e+00,9.677826000000000484e-01,9.784690000000000332e-01,7.823898999999999715e-01,8.127050000000000107e-01,1.084330000000000016e+00,9.758139999999999592e-01,7.963244999999999907e-01,9.258984888888890374e-01
2.485789999999999964e+03,9.127406999999999604e-01,1.048677000000000081e+00,9.560792999999999653e-01,9.514928000000000274e-01,8.676274999999999959e-01,1.007444999999999924e+00,9.535941999999999474e-01,9.457993000000000094e-01,9.081053999999999515e-01,9.501734666666664664e-01
2.486029999999999745e+03,8.162405999999999828e-01,9.205531000000000130e-01,7.859435000000000171e-01,9.449456000000000522e-01,8.670860000000000234e-01,7.823280000000000234e-01,9.993686000000000513e-01,7.847087000000000367e-01,8.278143999999999503e-01,8.587765000000000537e-01
2.486279999999999745e+03,7.618726999999999583e-01,9.176942999999999628e-01,8.478693999999999953e-01,9.365371999999999586e-01,9.555618000000000167e-01,8.044966000000000061e-01,9.272917999999999994e-01,9.803828999999999461e-01,9.420334000000000207e-01,8.970822333333333676e-01
2.486530000000000200e+03,8.690286000000000399e-01,9.074257999999999491e-01,8.548434999999999784e-01,8.333333000000000546e-01,7.122895999999999672e-01,9.318062999999999763e-01,8.087391000000000441e-01,9.054381999999999708e-01,8.087358999999999520e-01,8.479600333333333628e-01
2.486780000000000200e+03,8.020386000000000459e-01,6.886961000000000332e-01,7.016799000000000230e-01,8.806427000000000005e-01,8.749894999999999756e-01,8.367491999999999708e-01,7.945219999999999505e-01,7.748118999999999978e-01,7.695009000000000432e-01,7.915145333333333255e-01
2.487029999999999745e+03,8.480957000000000079e-01,6.395901999999999976e-01,7.825727999999999573e-01,8.528206000000000397e-01,7.067501000000000477e-01,8.486129000000000033e-01,7.848960000000000381e-01,8.099555999999999978e-01,7.898939999999999850e-01,7.847986555555555022e-01
2.487280000000000200e+03,7.412817999999999907e-01,7.626867000000000507e-01,9.172306999999999544e-01,8.060408999999999491e-01,9.416236999999999524e-01,8.735926000000000524e-01,7.646838000000000246e-01,8.335590999999999973e-01,7.232460000000000555e-01,8.182161444444445708e-01
2.487519999999999982e+03,7.594094000000000122e-01,7.361157000000000394e-01,8.647557999999999634e-01,7.793442000000000425e-01,7.823558999999999930e-01,8.727279999999999482e-01,7.903010999999999786e-01,7.680175000000000196e-01,7.807728999999999919e-01,7.926445000000000851e-01
2.487769999999999982e+03,7.688279999999999559e-01,8.126134000000000412e-01,8.245206000000000479e-01,8.374603000000000463e-01,8.630164000000000168e-01,7.674258999999999942e-01,7.075789000000000106e-01,7.795944999999999681e-01,7.272739999999999760e-01,7.875902222222221916e-01
2.488019999999999982e+03,8.177208000000000254e-01,7.927501999999999605e-01,7.210744999999999516e-01,7.924607999999999652e-01,9.144548000000000121e-01,9.315117000000000536e-01,8.915146000000000459e-01,8.688869999999999649e-01,7.819249000000000338e-01,8.346999222222221126e-01
2.488269999999999982e+03,7.126877999999999824e-01,8.014911999999999592e-01,7.490963000000000482e-01,8.278453999999999535e-01,9.616314000000000251e-01,9.116604999999999848e-01,9.854829000000000505e-01,8.841560000000000530e-01,7.785163000000000499e-01,8.458408666666666909e-01
